lat,lng,control
31.568452,130.543786,161.18
31.568555,130.543797,42.33
31.568487,130.54379,260.22
31.568558,130.543696,109.49
31.568655,130.543607,112.35
31.568785,130.543549,82.5
31.568614,130.54349,241.69
31.568556,130.543334,220.64
31.568632,130.543131,143.01
31.568644,130.542981,179.27
31.568667,130.543007,42.72
31.568651,130.543085,7.53
31.568654,130.543028,190.82
31.568714,130.542819,115.08
31.568658,130.542694,173.34
31.568657,130.542542,151.01
31.568483,130.54266,-59.27
31.568561,130.542486,106.55
31.568523,130.542483,-63.72
31.568478,130.542487,229.24
